№,Секунда ,Микросекунда
1,52,859609
2,52,871164
3,52,881565
4,52,891793
5,52,902535
6,52,912909
7,52,923383
8,52,933808
9,52,944372
10,52,955165
11,52,965373
12,52,979535
13,52,991048
14,53,1723
15,53,12394
16,53,22608
17,53,33291
18,53,43709
19,53,54143
20,53,64878
21,53,75118
22,53,85621
23,53,96108
24,53,106558
25,53,117616
26,53,128340
27,53,138879
28,53,149198
29,53,159757
30,53,170062
31,53,180478
32,53,190569
33,53,201116
34,53,211325
35,53,221882
36,53,232143
37,53,242868
38,53,252985
39,53,263249
40,53,273437
41,53,283742
42,53,294477
43,53,304669
44,53,314823
45,53,324888
46,53,335542
47,53,345848
48,53,356356
49,53,366647
50,53,377003
51,53,387412
52,53,397635
53,53,407969
54,53,418492
55,53,428695
56,53,438849
57,53,449121
58,53,459725
59,53,470209
60,53,481411
61,53,492383
62,53,503053
63,53,513202
64,53,523610
65,53,533873
66,53,544270
67,53,554684
68,53,565172
69,53,575549
70,53,585756
71,53,596038
72,53,606331
73,53,616592
74,53,626903
75,53,637438
76,53,647618
77,53,657858
78,53,668066
79,53,678758
80,53,689499
81,53,699658
82,53,710167
83,53,720716
84,53,731077
85,53,741654
86,53,752612
87,53,765807
88,53,776977
89,53,787884
90,53,798171
91,53,809268
92,53,819777
93,53,830860
94,53,841494
95,53,851777
96,53,861983
97,53,872171
98,53,882528
99,53,892868
100,53,903384
101,53,913800
102,53,924443
103,53,935343
104,53,945887
105,53,956418
106,53,967159
107,53,977356
108,53,988082
109,53,998326
110,54,8902
111,54,19400
112,54,29579
113,54,39760
114,54,50342
115,54,60807
116,54,71196
117,54,82106
118,54,92376
119,54,102427
120,54,112832
121,54,123367
122,54,133492
123,54,143738
124,54,154094
125,54,164814
126,54,175429
127,54,185900
128,54,196457
129,54,206920
130,54,217302
131,54,227549
132,54,238166
133,54,248454
134,54,258697
135,54,269232
136,54,279749
137,54,290296
138,54,300525
139,54,310738
140,54,321210
141,54,331448
142,54,341722
143,54,352339
144,54,362499
145,54,372875
146,54,383175
147,54,393382
148,54,403680
149,54,413977
150,54,424263
151,54,434629
152,54,444989
153,54,455276
154,54,465473
155,54,479353
156,54,490229
157,54,500426
158,54,510884
159,54,521695
160,54,532186
161,54,542466
162,54,552607
163,54,562915
164,54,573855
165,54,584264
166,54,594571
167,54,604860
168,54,615124
169,54,625606
170,54,636408
171,54,649132
172,54,659904
173,54,670206
174,54,680657
175,54,691116
176,54,701275
177,54,711922
178,54,722217
179,54,732527
180,54,742964
181,54,753432
182,54,763996
183,54,774702
184,54,786233
185,54,797842
186,54,808789
187,54,819100
188,54,829386
189,54,839776
190,54,849975
191,54,861130
192,54,872278
193,54,882958
194,54,893251
195,54,903610
196,54,913937
197,54,924241
198,54,934527
199,54,944874
200,54,955392
201,54,965901
202,54,976605
203,54,986763
204,54,997066
205,55,7293
206,55,17639
207,55,28149
208,55,38778
209,55,49309
210,55,59700
211,55,70167
212,55,80414
213,55,90637
214,55,101102
215,55,111312
216,55,121558
217,55,132059
218,55,142525
219,55,152904
220,55,163146
221,55,173956
222,55,184317
223,55,194893
224,55,205961
225,55,216596
226,55,226730
227,55,237467
228,55,248051
229,55,258898
230,55,269061
231,55,279280
232,55,289567
233,55,300098
234,55,310528
235,55,321045
236,55,331337
237,55,341698
238,55,352565
239,55,362847
240,55,373144
241,55,383447
242,55,393716
243,55,404010
244,55,414841
245,55,425288
246,55,435565
247,55,445892
248,55,456173
249,55,466482
250,55,479792
251,55,490355
252,55,500941
253,55,511093
254,55,521740
255,55,532493
256,55,542777
257,55,553145
258,55,563564
259,55,573839
260,55,584061
261,55,595497
262,55,605726
263,55,616074
264,55,626275
265,55,636492
266,55,646741
267,55,657030
268,55,667356
269,55,678667
270,55,689226
271,55,699497
272,55,709747
273,55,719954
274,55,730508
275,55,740847
276,55,751011
277,55,761460
278,55,771853
279,55,782460
280,55,792634
281,55,802972
282,55,813578
283,55,823898
284,55,834208
285,55,844670
286,55,855289
287,55,865753
288,55,876060
289,55,886347
290,55,896637
291,55,907121
292,55,917418
293,55,927722
294,55,938018
295,55,948299
296,55,958584
297,55,968862
298,55,979170
299,55,989865
300,56,770
